"Module","ModuleName","Requirement","Status","Confidence","EvidenceCount","EvidenceFiles"
"2","Database Architecture","Indexes","NEEDS-LIVE-VERIFICATION","MEDIUM","7",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-cli\references\migrate-dev.md | .agents\skills\prisma-database-setup\references\mongodb.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md | .agents\skills\prisma-mongodb-upgrade\references\schema-contract-mapping.md | .agents\skills\prisma-mongodb-upgrade\references\verify-cutover-checklist.md | .agents\skills\prisma-upgrade-v7\references\schema-changes.md"
"2","Database Architecture","Enums","NEEDS-LIVE-VERIFICATION","MEDIUM","5",".agents\skills\prisma-cli\references\generate.md | .agents\skills\prisma-database-setup\references\sqlite.md | .agents\skills\prisma-upgrade-v7\references\esm-support.md | .agents\skills\prisma-upgrade-v7\references\schema-changes.md | .agents\skills\prisma-upgrade-v7\SKILL.md"
"2","Database Architecture","Soft Delete","IMPLEMENTED-EVIDENCE","HIGH","7",".agents\skills\prisma-client-api\references\client-methods.md | .agents\skills\prisma-upgrade-v7\references\removed-features.md | app\api\drivers\route.ts | app\api\vehicles\route.ts | lib\repositories\customer.ts | lib\repositories\vehicle.ts | lib\services\vehicle\VehicleService.ts"
"2","Database Architecture","Audit Fields","MISSING-NO-EVIDENCE","HIGH","0",""
"3","Authentication & RBAC","Users","IMPLEMENTED-EVIDENCE","HIGH","46",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-cli\references\db-seed.md | .agents\skills\prisma-cli\references\migrate-dev.md | .agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-client-api\references\client-methods.md | .agents\skills\prisma-client-api\references\constructor.md | .agents\skills\prisma-client-api\references\filters.md | .agents\skills\prisma-client-api\references\model-queries.md | .agents\skills\prisma-client-api\references\query-options.md | .agents\skills\prisma-client-api\references\raw-queries.md | .agents\skills\prisma-client-api\references\relations.md | .agents\skills\prisma-client-api\SKILL.md"
"3","Authentication & RBAC","Roles","IMPLEMENTED-EVIDENCE","HIGH","13",".agents\skills\prisma-client-api\references\raw-queries.md | app\api\finance\wallet\route.ts | app\api\payments\create-order\route.ts | app\api\vendors\wallet\route.ts | app\settings\page.tsx | components\auth\PermissionGuard.tsx | components\security\RolePermissionMatrix.tsx | components\settings\RolePermissions.tsx | data\settings.ts | data\sidebar.ts | lib\auth\auth-utils.ts | lib\auth\middleware.ts"
"3","Authentication & RBAC","Permissions","IMPLEMENTED-EVIDENCE","HIGH","17",".agents\skills\prisma-compute\references\troubleshooting.md | app\api\security\permissions\route.ts | app\middleware.ts | app\settings\page.tsx | components\common\PermissionGate.tsx | components\navigation\navigation.ts | components\security\SecurityOverview.tsx | components\settings\RolePermissions.tsx | docs\API_CATALOGUE.md | hooks\usePermission.ts | lib\permissions.ts | lib\rbac.ts"
"3","Authentication & RBAC","JWT","MISSING-NO-EVIDENCE","HIGH","0",""
"3","Authentication & RBAC","OTP","MISSING-NO-EVIDENCE","HIGH","0",""
"3","Authentication & RBAC","Sessions","IMPLEMENTED-EVIDENCE","HIGH","13",".agents\skills\prisma-compute\references\app-deploy-cli.md | .agents\skills\prisma-compute\references\troubleshooting.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\client-api-mapping.md | app\api\security\sessions\route.ts | app\page.tsx | components\dashboard\Footer.tsx | components\security\SecurityOverview.tsx | components\security\SecurityStats.tsx | components\security\SessionTable.tsx | docs\API_CATALOGUE.md | lib\security\session.ts"
"3","Authentication & RBAC","Corporate Login","MISSING-NO-EVIDENCE","HIGH","0",""
"4","Notification Engine","WhatsApp","IMPLEMENTED-EVIDENCE","HIGH","33","app\notifications\page.tsx | app\settings\page.tsx | app\support\page.tsx | components\automation\AutomationActivity.tsx | components\automation\AutomationRuleTable.tsx | components\notifications\CommunicationLogs.tsx | components\notifications\DeliveryStatus.tsx | components\notifications\FailedNotifications.tsx | components\notifications\NotificationAnalytics.tsx | components\notifications\QuickBroadcast.tsx | components\notifications\RecentActivity.tsx | components\notifications\ScheduledNotifications.tsx"
"4","Notification Engine","SMS","MISSING-NO-EVIDENCE","HIGH","0",""
"4","Notification Engine","Email","IMPLEMENTED-EVIDENCE","HIGH","89",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-cli\references\db-push.md | .agents\skills\prisma-cli\references\db-seed.md | .agents\skills\prisma-cli\references\migrate-dev.md | .agents\skills\prisma-client-api\references\client-methods.md | .agents\skills\prisma-client-api\references\filters.md | .agents\skills\prisma-client-api\references\model-queries.md | .agents\skills\prisma-client-api\references\query-options.md | .agents\skills\prisma-client-api\references\raw-queries.md | .agents\skills\prisma-client-api\references\relations.md | .agents\skills\prisma-client-api\references\transactions.md | .agents\skills\prisma-client-api\SKILL.md"
"4","Notification Engine","Push","IMPLEMENTED-EVIDENCE","HIGH","54",".agents\skills\prisma-cli\references\db-push.md | .agents\skills\prisma-cli\references\migrate-dev.md | .agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-compute\references\app-deploy-cli.md | .agents\skills\prisma-compute\references\troubleshooting.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-database-setup\references\mongodb.md | .agents\skills\prisma-driver-adapter-implementation\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\decision-stay-or-migrate.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md | .agents\skills\prisma-mongodb-upgrade\references\schema-contract-mapping.md | .agents\skills\prisma-mongodb-upgrade\references\verify-cutover-checklist.md"
"4","Notification Engine","Templates","IMPLEMENTED-EVIDENCE","HIGH","9",".agents\skills\prisma-compute\references\create-prisma.md | .agents\skills\prisma-compute\references\frameworks.md | app\notifications\page.tsx | app\support\page.tsx | components\notifications\TemplateManager.tsx | components\settings\WhatsAppSettings.tsx | components\support\WhatsAppTemplates.tsx | data\notifications.ts | data\sidebar.ts"
"4","Notification Engine","Queues","MISSING-NO-EVIDENCE","HIGH",,"prisma\schema.prisma"
"4","Notification Engine","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"5","AI Engine","Recommendation Engine","MISSING-NO-EVIDENCE","HIGH",,"lib\ai\ai-types.ts"
"5","AI Engine","Prediction Engine","MISSING-NO-EVIDENCE","HIGH","0",""
"5","AI Engine","AI Assistant","MISSING-NO-EVIDENCE","HIGH",,".agents\skills\prisma-cli\references\mcp.md"
"5","AI Engine","Knowledge Base","IMPLEMENTED-EVIDENCE","HIGH","6","app\support\page.tsx | components\support\KnowledgeBase.tsx | data\sidebar.ts | data\support.ts | prisma\migrations\20260809100000_restore_enterprise_schema\migration.sql | prisma\schema.prisma"
"5","AI Engine","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"5","AI Engine","Monitoring","NEEDS-LIVE-VERIFICATION","MEDIUM","5","data\support.ts | docs\OPERATIONS.md | lib\monitoring\alerts.ts | lib\monitoring\error-monitor.ts | lib\monitoring\index.ts"
"6","Event Bus","Publish/Subscribe","MISSING-NO-EVIDENCE","HIGH","0",""
"6","Event Bus","Booking Events","MISSING-NO-EVIDENCE","HIGH","0",""
"6","Event Bus","Finance Events","MISSING-NO-EVIDENCE","HIGH","0",""
"6","Event Bus","CRM Events","MISSING-NO-EVIDENCE","HIGH","0",""
"6","Event Bus","Analytics Events","IMPLEMENTED-EVIDENCE","HIGH","2","lib\repositories\analytics.ts | lib\services\analytics\AnalyticsService.ts"
"6","Event Bus","Retry Queue","NEEDS-LIVE-VERIFICATION","MEDIUM","2","lib\events\event-dispatcher.ts | prisma\schema.prisma"
"7","Customer Module","Purpose","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md"
"7","Customer Module","Prisma Models","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-client-api\references\model-queries.md"
"7","Customer Module","Relationships","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Customer APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Business Logic","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Admin Dashboard","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Customer Website","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Customer App","MISSING-NO-EVIDENCE","HIGH","0",""
"7","Customer Module","Notifications","IMPLEMENTED-EVIDENCE","HIGH","36","app\api\driver\notifications\route.ts | app\api\notifications\route.ts | app\notifications\page.tsx | app\page.tsx | app\settings\page.tsx | components\automation\AutomationOverview.tsx | components\dashboard\SystemStatus.tsx | components\Header.tsx | components\navigation\navigation.ts | components\navigation\navigation-data.ts | components\navigation\navigation-icons.ts | components\notifications\DeliveryStatus.tsx"
"7","Customer Module","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"7","Customer Module","AI","MISSING-NO-EVIDENCE","HIGH","0",""
"8","Vendor Module","Purpose","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md"
"8","Vendor Module","Vendor Models","MISSING-NO-EVIDENCE","HIGH","0",""
"8","Vendor Module","Fleet","IMPLEMENTED-EVIDENCE","HIGH","21","app\page.tsx | components\analytics\AnalyticsStats.tsx | components\analytics\VehicleAnalytics.tsx | components\dashboard\ExecutiveOverview.tsx | components\dashboard\Hero.tsx | components\dashboard\OperationsSection.tsx | components\reports\VehicleReportCard.tsx | components\ui\charts\FleetChart.tsx | components\ui\charts\index.ts | components\ui\widgets\AIInsight.tsx | components\ui\widgets\FleetHealth.tsx | components\ui\widgets\index.ts"
"8","Vendor Module","Vendor APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"8","Vendor Module","Vendor Portal","MISSING-NO-EVIDENCE","HIGH","0",""
"8","Vendor Module","Vendor App","IMPLEMENTED-EVIDENCE","HIGH","3","components\settings\SystemLogs.tsx | components\support\VendorSupport.tsx | components\ui\widgets\NotificationWidget.tsx"
"8","Vendor Module","Wallet","IMPLEMENTED-EVIDENCE","HIGH","39","app\api\corporate\route.ts | app\api\drivers\route.ts | app\api\finance\wallet\route.ts | app\api\vendors\dashboard\route.ts | app\api\vendors\profile\route.ts | app\api\vendors\settlements\route.ts | app\api\vendors\wallet\route.ts | app\finance\page.tsx | app\page.tsx | components\bookings\BookingStats.tsx | components\bookings\fare\FareSummaryCard.tsx | components\bookings\PaymentBadge.tsx"
"8","Vendor Module","Settlements","IMPLEMENTED-EVIDENCE","HIGH","15","app\api\finance\settlements\route.ts | app\api\vendors\dashboard\route.ts | app\api\vendors\settlements\route.ts | app\api\vendors\wallet\route.ts | components\finance\FinanceHeader.tsx | components\finance\FinanceStats.tsx | components\settings\TaxGSTSettings.tsx | components\support\FAQManager.tsx | docs\API_CATALOGUE.md | lib\repositories\settlement.ts | lib\repositories\vendor.ts | lib\repositories\wallet.ts"
"8","Vendor Module","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"8","Vendor Module","AI","MISSING-NO-EVIDENCE","HIGH","0",""
"9","Driver Module","Purpose","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md"
"9","Driver Module","Driver Models","MISSING-NO-EVIDENCE","HIGH","0",""
"9","Driver Module","Trip APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"9","Driver Module","Driver App","MISSING-NO-EVIDENCE","HIGH","0",""
"9","Driver Module","Attendance","IMPLEMENTED-EVIDENCE","HIGH","6","app\drivers\page.tsx | components\drivers\DriverAttendanceCard.tsx | components\drivers\DriverHeader.tsx | data\sidebar.ts | prisma\migrations\20260809100000_restore_enterprise_schema\migration.sql | prisma\schema.prisma"
"9","Driver Module","Navigation","IMPLEMENTED-EVIDENCE","HIGH","25",".agents\skills\prisma-cli\references\studio.md | .agents\skills\prisma-cli\SKILL.md | app\(auth)\reset-password\page.tsx | app\marketplace\booking\confirmation\BookingConfirmationClient.tsx | app\marketplace\booking\MarketplaceBookingClient.tsx | app\marketplace\page.tsx | app\marketplace\results\MarketplaceResultsClient.tsx | app\settings\page.tsx | components\auth\AuthGuard.tsx | components\auth\LoginForm.tsx | components\bookings\location\RoutePreview.tsx | components\bookings\TripInfoCard.tsx"
"9","Driver Module","Notifications","IMPLEMENTED-EVIDENCE","HIGH","36","app\api\driver\notifications\route.ts | app\api\notifications\route.ts | app\notifications\page.tsx | app\page.tsx | app\settings\page.tsx | components\automation\AutomationOverview.tsx | components\dashboard\SystemStatus.tsx | components\Header.tsx | components\navigation\navigation.ts | components\navigation\navigation-data.ts | components\navigation\navigation-icons.ts | components\notifications\DeliveryStatus.tsx"
"9","Driver Module","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"9","Driver Module","AI","MISSING-NO-EVIDENCE","HIGH","0",""
"10","Vehicle Module","Vehicle Models","MISSING-NO-EVIDENCE","HIGH","0",""
"10","Vehicle Module","Availability","IMPLEMENTED-EVIDENCE","HIGH","20","app\api\drivers\route.ts | app\marketplace\results\MarketplaceResultsClient.tsx | app\page.tsx | app\vehicles\page.tsx | components\drivers\DriverAttendanceCard.tsx | components\drivers\DriverDetailsDrawer.tsx | components\drivers\DriverRow.tsx | components\drivers\DriverTable.tsx | components\drivers\DriverVehicleCard.tsx | components\reports\DriverReportCard.tsx | components\reports\VehicleReportCard.tsx | components\vehicles\VehicleHeader.tsx"
"10","Vehicle Module","Documents","IMPLEMENTED-EVIDENCE","HIGH","27",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-mongodb-upgrade\references\schema-contract-mapping.md | .agents\skills\prisma-mongodb-upgrade\references\verify-cutover-checklist.md | app\api\documents\route.ts | app\api\driver\documents\route.ts | app\api\driver\profile\route.ts | app\api\vendors\profile\route.ts | app\api\vendors\vehicles\route.ts | components\drivers\DriverDocumentCard.tsx | components\drivers\DriverForm.tsx | components\drivers\DriverHeader.tsx | components\navigation\navigation-icons.ts"
"10","Vehicle Module","Pricing","IMPLEMENTED-EVIDENCE","HIGH","24","app\api\bookings\create\route.ts | app\api\pricing\packages\route.ts | app\api\pricing\rules\route.ts | app\api\pricing\vehicles\route.ts | app\api\vendors\profile\route.ts | app\api\vendors\smart-return\route.ts | app\marketplace\booking\MarketplaceBookingClient.tsx | app\marketplace\results\MarketplaceResultsClient.tsx | app\pricing\page.tsx | components\ai\AIActivity.tsx | components\ai\AIOverview.tsx | components\bookings\fare\FareInputSection.tsx"
"10","Vehicle Module","Maintenance","IMPLEMENTED-EVIDENCE","HIGH","29",".agents\skills\prisma-cli\references\db-execute.md | .agents\skills\prisma-mongodb-upgrade\references\decision-stay-or-migrate.md | .agents\skills\prisma-mongodb-upgrade\SKILL.md | app\api\vehicles\route.ts | app\api\vendors\vehicles\route.ts | app\vehicles\page.tsx | components\bookings\VehicleSelect.tsx | components\dashboard\BusinessOverview.tsx | components\drivers\DriverForm.tsx | components\finance\AddExpenseModal.tsx | components\finance\ExpenseBreakdown.tsx | components\finance\ExpenseForm.tsx"
"10","Vehicle Module","Vehicle APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"10","Vehicle Module","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"11","Marketplace Listing Engine","Listing Models","MISSING-NO-EVIDENCE","HIGH","0",""
"11","Marketplace Listing Engine","Search Index","MISSING-NO-EVIDENCE","HIGH","0",""
"11","Marketplace Listing Engine","Listing APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"11","Marketplace Listing Engine","Ranking","MISSING-NO-EVIDENCE","HIGH","0",""
"11","Marketplace Listing Engine","Filters","IMPLEMENTED-EVIDENCE","HIGH","27",".agents\skills\prisma-client-api\references\filters.md | .agents\skills\prisma-client-api\references\query-options.md | .agents\skills\prisma-client-api\references\relations.md | .agents\skills\prisma-client-api\SKILL.md | app\analytics\page.tsx | app\api\reports\route.ts | app\bookings\page.tsx | app\corporate\page.tsx | app\customers\page.tsx | app\drivers\page.tsx | app\finance\page.tsx | app\reports\page.tsx"
"11","Marketplace Listing Engine","Media","IMPLEMENTED-EVIDENCE","HIGH","9",".agents\skills\prisma-compute\references\app-deploy-cli.md | .agents\skills\prisma-compute\references\troubleshooting.md | .agents\skills\prisma-postgres\references\console-and-connections.md | .agents\skills\prisma-postgres\SKILL.md | .agents\skills\prisma-postgres-setup\references\auth.md | app\marketplace\booking\MarketplaceBookingClient.tsx | lib\services\invoice\InvoicePdfService.ts | prisma\migrations\20260809100000_restore_enterprise_schema\migration.sql | prisma\schema.prisma"
"12","Search Engine","Search APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"12","Search Engine","Filters","IMPLEMENTED-EVIDENCE","HIGH","27",".agents\skills\prisma-client-api\references\filters.md | .agents\skills\prisma-client-api\references\query-options.md | .agents\skills\prisma-client-api\references\relations.md | .agents\skills\prisma-client-api\SKILL.md | app\analytics\page.tsx | app\api\reports\route.ts | app\bookings\page.tsx | app\corporate\page.tsx | app\customers\page.tsx | app\drivers\page.tsx | app\finance\page.tsx | app\reports\page.tsx"
"12","Search Engine","Sorting","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\references\studio.md | .agents\skills\prisma-client-api\SKILL.md"
"12","Search Engine","Geo Search","MISSING-NO-EVIDENCE","HIGH","0",""
"12","Search Engine","Availability","IMPLEMENTED-EVIDENCE","HIGH","20","app\api\drivers\route.ts | app\marketplace\results\MarketplaceResultsClient.tsx | app\page.tsx | app\vehicles\page.tsx | components\drivers\DriverAttendanceCard.tsx | components\drivers\DriverDetailsDrawer.tsx | components\drivers\DriverRow.tsx | components\drivers\DriverTable.tsx | components\drivers\DriverVehicleCard.tsx | components\reports\DriverReportCard.tsx | components\reports\VehicleReportCard.tsx | components\vehicles\VehicleHeader.tsx"
"12","Search Engine","Performance","IMPLEMENTED-EVIDENCE","HIGH","33",".agents\skills\prisma-client-api\references\transactions.md | .agents\skills\prisma-mongodb-upgrade\references\verify-cutover-checklist.md | app\drivers\page.tsx | app\reports\page.tsx | app\support\page.tsx | components\analytics\AnalyticsHeader.tsx | components\analytics\AnalyticsTable.tsx | components\analytics\CityAnalytics.tsx | components\analytics\RevenueAnalytics.tsx | components\analytics\VehicleAnalytics.tsx | components\drivers\DriverHeader.tsx | components\drivers\DriverPerformanceCard.tsx"
"13","Booking Engine","Booking Models","MISSING-NO-EVIDENCE","HIGH","0",""
"13","Booking Engine","Booking APIs","MISSING-NO-EVIDENCE","HIGH","0",""
"13","Booking Engine","Timeline","IMPLEMENTED-EVIDENCE","HIGH","8","app\page.tsx | app\support\page.tsx | components\bookings\BookingDetailsDrawer.tsx | components\bookings\StatusTimeline.tsx | components\dashboard\OperationsSection.tsx | components\support\TicketTimeline.tsx | components\ui\widgets\BookingTimeline.tsx | components\ui\widgets\index.ts"
"13","Booking Engine","Workflow","IMPLEMENTED-EVIDENCE","HIGH","45",".agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-cli\references\db-push.md | .agents\skills\prisma-cli\references\db-seed.md | .agents\skills\prisma-cli\references\dev.md | .agents\skills\prisma-cli\references\format.md | .agents\skills\prisma-cli\references\migrate-deploy.md | .agents\skills\prisma-cli\references\migrate-dev.md | .agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-cli\references\studio.md | .agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-client-api\references\constructor.md | .agents\skills\prisma-compute\references\app-deploy-cli.md"
"13","Booking Engine","Corporate Booking","IMPLEMENTED-EVIDENCE","HIGH","4","app\page.tsx | components\dashboard\BusinessOverview.tsx | components\ui\widgets\LiveActivity.tsx | components\vehicles\VehicleTripHistoryCard.tsx"
"13","Booking Engine","Notifications","IMPLEMENTED-EVIDENCE","HIGH","36","app\api\driver\notifications\route.ts | app\api\notifications\route.ts | app\notifications\page.tsx | app\page.tsx | app\settings\page.tsx | components\automation\AutomationOverview.tsx | components\dashboard\SystemStatus.tsx | components\Header.tsx | components\navigation\navigation.ts | components\navigation\navigation-data.ts | components\navigation\navigation-icons.ts | components\notifications\DeliveryStatus.tsx"
"13","Booking Engine","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"14","Smart Return","Detection Logic","MISSING-NO-EVIDENCE","HIGH","0",""
"14","Smart Return","Eligibility","MISSING-NO-EVIDENCE","HIGH",,"lib\services\marketplace\MarketplaceListingService.ts"
"14","Smart Return","Return Listings","MISSING-NO-EVIDENCE","HIGH","0",""
"14","Smart Return","Automation","IMPLEMENTED-EVIDENCE","HIGH","31",".agents\skills\prisma-cli\references\migrate-reset.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\frameworks.md | .agents\skills\prisma-compute\references\sdk-api.md | .agents\skills\prisma-compute\SKILL.md | .agents\skills\prisma-postgres\references\management-api.md | app\api\automation\route.ts | app\api\payments\verify\route.ts | app\api\payments\webhook\route.ts | app\automation\page.tsx | components\ai\AIOverview.tsx | components\ai\AIStats.tsx"
"14","Smart Return","Notifications","IMPLEMENTED-EVIDENCE","HIGH","36","app\api\driver\notifications\route.ts | app\api\notifications\route.ts | app\notifications\page.tsx | app\page.tsx | app\settings\page.tsx | components\automation\AutomationOverview.tsx | components\dashboard\SystemStatus.tsx | components\Header.tsx | components\navigation\navigation.ts | components\navigation\navigation-data.ts | components\navigation\navigation-icons.ts | components\notifications\DeliveryStatus.tsx"
"14","Smart Return","AI","MISSING-NO-EVIDENCE","HIGH","0",""
"15","Digital Marketplace Twin","Demand Analytics","MISSING-NO-EVIDENCE","HIGH","0",""
"15","Digital Marketplace Twin","Supply Analytics","MISSING-NO-EVIDENCE","HIGH","0",""
"15","Digital Marketplace Twin","Pricing Insights","MISSING-NO-EVIDENCE","HIGH","0",""
"15","Digital Marketplace Twin","Vendor Utilization","MISSING-NO-EVIDENCE","HIGH","0",""
